north,north_west,north_east,south,west,east,action,lap
100,59,59,100,36,35,accelerate,1
100,59,59,100,36,35,accelerate,1
100,59,59,100,36,35,accelerate,1
100,59,59,100,36,35,accelerate,1
100,59,59,100,36,35,accelerate,1
100,59,59,100,36,35,accelerate,1
100,59,59,100,36,35,accelerate,1
100,59,59,100,36,35,accelerate,1
100,59,59,100,36,35,accelerate,1
100,59,59,100,36,35,accelerate,1
100,59,59,100,36,35,accelerate,1
100,59,59,100,36,35,accelerate,1
100,59,59,100,36,35,accelerate,1
100,59,59,100,36,35,accelerate,1
100,59,59,100,36,35,accelerate,1
100,59,59,100,36,35,accelerate,1
100,59,59,100,36,35,accelerate,1
100,59,59,100,36,35,accelerate,1
100,59,59,100,36,35,accelerate,1
100,59,59,100,36,35,accelerate,1
100,59,59,100,36,35,accelerate,1
100,59,59,100,36,35,accelerate,1
100,59,59,100,36,35,accelerate,1
100,59,59,100,36,35,accelerate,1
100,59,59,100,36,35,accelerate,1
100,59,59,100,36,35,accelerate,1
100,59,59,100,36,35,accelerate,1
100,59,59,100,36,35,accelerate,1
100,59,59,100,36,35,accelerate,1
100,59,59,100,36,35,accelerate,1
100,59,59,100,36,35,accelerate,1
100,59,59,100,36,35,accelerate,1
100,59,59,100,36,35,accelerate,1
100,59,59,100,36,35,accelerate,1
100,59,59,100,36,35,accelerate,1
100,59,59,100,36,35,accelerate,1
100,59,59,100,36,35,accelerate,1
100,59,59,100,36,35,accelerate,1
100,59,59,100,36,35,accelerate,1
100,59,59,100,36,35,accelerate,1
100,59,59,100,36,35,accelerate,1
100,64,59,100,36,35,accelerate,1
100,100,57,100,36,35,accelerate,1
100,100,57,100,36,35,accelerate,1
98,100,56,100,36,35,accelerate,1
94,100,55,100,36,35,accelerate,1
90,100,54,100,36,35,accelerate,1
86,100,52,100,36,35,accelerate,1
82,100,50,100,36,35,accelerate,1
81,100,50,100,36,36,accelerate+rotLeft,1
80,100,51,100,35,37,accelerate+rotLeft,1
79,100,50,100,35,37,accelerate+rotLeft,1
78,100,50,100,34,37,accelerate+rotLeft,1
80,100,51,100,34,38,accelerate+rotLeft,1
80,100,52,100,33,39,accelerate+rotLeft,1
80,100,52,100,32,39,accelerate+rotLeft,1
78,100,50,96,32,38,accelerate+rotLeft,1
79,100,51,88,32,40,accelerate+rotLeft,1
78,100,51,85,32,39,accelerate+rotLeft,1
78,100,52,82,30,40,accelerate+rotLeft,1
79,100,51,78,31,40,accelerate+rotLeft,1
81,100,53,77,28,41,accelerate+rotLeft,1
83,100,52,75,29,41,accelerate+rotLeft,1
85,100,53,75,29,40,accelerate+rotLeft,1
91,100,54,74,28,41,accelerate+rotLeft,1
98,100,54,74,28,41,accelerate+rotLeft,1
100,100,55,75,27,42,accelerate+rotLeft,1
100,92,55,73,29,41,accelerate+rotLeft,1
100,80,55,74,28,41,accelerate+rotLeft,1
100,71,56,75,28,42,accelerate+rotLeft,1
100,62,59,76,26,44,accelerate+rotLeft,1
100,56,61,75,27,43,accelerate+rotLeft,1
100,51,64,75,26,44,accelerate+rotLeft,1
100,47,68,76,26,45,accelerate+rotLeft,1
100,43,72,76,26,45,accelerate+rotLeft,1
100,43,72,79,26,45,accelerate,1
100,43,72,82,26,45,accelerate,1
100,43,72,85,26,45,accelerate,1
100,45,71,88,27,44,accelerate,1
100,45,71,91,27,44,accelerate,1
100,45,71,94,27,44,accelerate,1
100,45,71,98,27,44,accelerate,1
100,45,71,100,27,44,accelerate,1
100,45,71,100,27,44,accelerate,1
100,45,71,100,27,44,accelerate,1
100,45,71,100,27,44,accelerate,1
100,45,71,100,27,44,accelerate,1
100,45,71,100,27,44,accelerate,1
100,45,71,100,27,44,accelerate,1
100,45,71,100,27,44,accelerate,1
100,45,71,100,27,44,accelerate,1
100,45,71,100,27,44,accelerate,1
100,45,71,100,27,44,accelerate,1
100,45,71,100,27,44,accelerate,1
100,47,69,100,28,43,accelerate,1
100,47,69,100,28,43,accelerate,1
100,47,69,100,28,43,accelerate,1
100,47,69,100,28,43,accelerate,1
100,47,69,100,28,43,accelerate,1
100,47,69,100,28,43,accelerate,1
100,47,69,100,28,43,accelerate,1
100,47,69,100,28,43,accelerate,1
100,47,69,100,28,43,accelerate,1
100,47,69,100,28,43,accelerate,1
100,47,69,100,28,43,accelerate,1
100,47,69,100,28,43,accelerate,1
100,47,69,100,28,43,accelerate,1
100,47,69,100,28,43,accelerate,1
100,48,67,100,29,42,accelerate,1
100,48,67,100,29,42,accelerate,1
100,48,67,100,29,42,accelerate,1
100,48,67,100,29,42,accelerate,1
100,48,67,100,29,42,accelerate,1
100,48,67,100,29,42,accelerate,1
100,48,67,100,29,42,accelerate,1
100,48,67,100,29,42,accelerate,1
100,48,67,100,29,42,accelerate,1
100,48,67,100,29,42,accelerate,1
100,48,67,100,29,42,accelerate,1
100,48,67,100,29,42,accelerate,1
100,48,67,100,29,42,accelerate,1
100,48,67,100,29,42,accelerate,1
100,50,67,100,30,41,accelerate,1
100,50,100,100,30,41,accelerate,1
100,50,100,100,30,41,accelerate,1
100,50,100,100,30,41,accelerate,1
97,48,100,100,30,41,accelerate,1
97,50,100,100,30,41,accelerate+rotRight,1
98,53,100,100,31,40,accelerate+rotRight,1
99,56,100,100,31,40,accelerate+rotRight,1
