north,north_west,north_east,south,west,east,west_north_front,east_north_front,west_north,east_north,south_west,south_east,action,lap
100,57,59,100,35,35,97,100,40,41,57,59,accelerate,1
100,57,59,100,35,35,97,100,40,41,57,59,accelerate,1
100,57,59,100,35,35,97,100,40,41,57,59,accelerate,1
100,57,59,100,35,35,97,100,40,41,57,59,accelerate,1
100,57,59,100,35,35,97,100,40,41,57,59,accelerate,1
100,57,59,100,35,35,97,100,40,41,57,59,accelerate,1
100,57,59,100,35,35,97,100,40,41,57,59,accelerate,1
100,57,59,100,35,35,97,100,40,41,57,59,accelerate,1
100,57,59,100,35,35,97,100,40,41,57,59,accelerate,1
100,62,55,100,35,36,100,88,41,40,54,63,accelerate+rotRight,1
100,57,59,100,35,35,97,100,40,41,57,59,accelerate+rotLeft+rotRight,1
100,51,67,100,34,37,80,100,37,44,61,56,accelerate+rotLeft,1
100,47,75,100,34,37,70,100,36,46,69,52,accelerate+rotLeft,1
100,45,83,100,34,37,64,100,35,48,76,49,accelerate+rotLeft,1
100,45,83,100,34,37,64,100,35,48,76,49,accelerate,1
100,48,73,100,34,37,72,100,36,45,67,52,accelerate+rotRight,1
100,51,67,100,34,37,80,100,37,44,61,56,accelerate+rotRight,1
100,47,75,100,34,37,70,100,36,46,69,52,accelerate+rotLeft,1
100,45,83,100,34,37,64,100,35,48,76,49,accelerate+rotLeft,1
100,45,83,100,34,37,64,100,35,48,76,49,accelerate,1
100,47,75,100,34,37,70,100,36,46,69,52,accelerate+rotRight,1
100,50,69,100,34,37,77,100,37,44,63,54,accelerate+rotRight,1
100,48,71,100,33,38,75,100,36,46,61,56,accelerate,1
100,48,71,100,33,38,75,100,36,46,61,56,accelerate,1
100,48,71,100,33,38,75,100,36,46,61,56,accelerate,1
100,48,71,100,33,38,75,100,36,46,61,56,accelerate,1
100,48,71,100,33,38,75,100,36,46,61,56,accelerate,1
100,48,71,100,33,38,75,100,36,46,61,56,accelerate,1
100,48,71,100,33,38,75,100,36,46,61,56,accelerate,1
