north,north_west,north_east,south,west,east,west_north_front,east_north_front,west_north,east_north,south_west,south_east,action,lap
100,51,63,100,32,39,84,100,36,44,53,64,accelerate,1
100,51,63,100,32,39,84,100,36,44,53,64,accelerate,1
100,51,63,100,32,39,84,100,36,44,53,64,accelerate,1
100,49,66,100,30,40,83,100,35,45,52,65,accelerate,1
100,51,65,100,32,39,86,100,36,44,53,65,accelerate,1
100,51,65,100,32,39,86,100,36,44,53,65,accelerate,1
100,49,65,100,30,40,82,100,35,45,52,66,accelerate,1
100,49,65,100,30,39,84,100,35,46,52,66,accelerate,1
100,51,63,100,32,39,86,100,36,45,53,63,accelerate,1
100,49,65,100,30,39,84,100,35,46,52,65,accelerate,1
100,49,65,100,30,39,84,100,35,45,52,65,accelerate,1
100,49,65,100,30,39,83,100,35,45,52,65,accelerate,1
100,55,60,100,31,38,97,95,37,44,49,70,accelerate+rotRight,1
100,61,56,100,31,39,100,82,39,43,46,76,accelerate+rotRight,1
100,67,53,100,32,39,100,75,40,40,43,85,accelerate+rotRight,1
100,69,52,100,32,38,100,74,41,40,44,85,accelerate,1
100,69,52,100,32,38,100,75,41,40,44,83,accelerate,1
100,59,57,100,31,39,100,87,38,42,47,76,accelerate+rotLeft,1
100,56,59,100,32,38,100,93,38,42,51,67,accelerate+rotLeft,1
100,51,63,100,32,38,82,100,36,45,55,61,accelerate+rotLeft,1
100,51,63,100,32,38,82,100,36,45,55,61,accelerate,1
100,51,63,100,32,38,82,100,36,44,55,61,accelerate,1
100,51,63,100,32,38,83,100,36,44,55,61,accelerate,1
100,51,63,100,32,38,82,100,36,44,55,61,accelerate,1
100,51,63,100,32,38,82,100,36,44,55,62,accelerate,1
100,50,66,100,31,39,80,100,35,45,53,63,accelerate,1
100,50,65,100,31,39,80,100,35,45,53,62,accelerate,1
100,51,63,100,32,38,82,100,36,45,55,61,accelerate,1
100,50,65,100,31,38,80,100,35,45,54,62,accelerate,1
100,51,63,100,32,38,83,100,36,44,54,61,accelerate,1
100,50,65,100,31,38,81,100,35,45,53,62,accelerate,1
100,51,63,100,31,38,82,100,36,44,54,62,accelerate,1
100,49,65,100,31,39,80,100,35,45,53,62,accelerate,1
100,52,62,100,31,39,92,100,35,43,50,68,accelerate+rotRight,1
100,59,56,100,31,39,100,84,38,41,47,73,accelerate+rotRight,1
100,59,56,100,31,38,100,84,38,42,47,73,accelerate,1
100,60,56,100,32,37,100,82,39,41,48,73,accelerate,1
100,53,60,100,31,37,92,100,36,42,51,66,accelerate+rotLeft,1
100,50,63,100,31,38,82,100,36,45,54,61,accelerate+rotLeft,1
100,52,62,100,32,37,86,100,36,44,55,60,accelerate,1
100,51,62,100,32,37,83,100,36,43,55,60,accelerate,1
100,51,62,100,32,37,82,100,36,43,55,61,accelerate,1
100,51,63,100,32,38,82,100,36,43,55,60,accelerate,1
100,51,62,100,32,37,82,100,36,44,55,60,accelerate,1
100,51,62,100,32,37,84,100,36,43,54,60,accelerate,1
100,50,63,100,31,38,81,100,35,44,53,62,accelerate,1
100,56,59,100,30,38,93,100,37,42,49,67,accelerate+rotRight,1
100,59,56,100,31,38,99,100,38,41,46,73,accelerate+rotRight,1
100,69,51,100,32,37,100,76,43,38,45,79,accelerate+rotRight,1
100,63,53,100,32,36,100,100,41,39,47,72,accelerate+rotLeft,1
100,58,58,100,32,36,90,100,38,41,51,65,accelerate+rotLeft,1
100,53,62,100,32,37,82,100,38,42,54,60,accelerate+rotLeft,1
100,53,63,100,32,36,81,100,37,42,54,60,accelerate,1
100,52,66,100,33,36,80,100,37,42,54,60,accelerate,1
100,53,65,100,33,36,78,100,38,41,55,60,accelerate,1
100,52,75,100,32,37,76,100,38,42,54,60,accelerate,1
100,53,100,100,32,36,74,100,37,42,54,60,accelerate,1
100,53,100,100,33,36,74,100,38,42,55,59,accelerate,1
100,52,100,100,32,36,72,100,37,42,54,61,accelerate,1
100,54,100,100,33,36,70,100,38,42,55,59,accelerate,1
98,52,100,100,32,36,66,100,36,44,53,60,accelerate,1
94,49,100,100,32,36,64,100,36,45,54,61,accelerate,1
91,49,100,100,33,36,62,100,38,45,54,59,accelerate,1
87,47,100,100,32,37,60,100,36,46,53,60,accelerate,1
87,47,100,100,31,37,60,100,37,45,50,65,accelerate+rotRight,1
89,49,100,100,32,37,61,100,39,45,48,69,accelerate+rotRight,1
93,49,100,100,33,37,62,100,39,45,46,77,accelerate+rotRight,1
89,48,100,100,34,37,60,100,39,46,47,75,accelerate,1
86,47,100,100,35,37,57,100,38,50,48,73,accelerate,1
82,45,100,100,35,37,56,100,38,54,50,73,accelerate,1
77,43,100,100,34,37,53,100,36,61,50,70,accelerate,1
74,40,100,100,34,37,50,100,35,66,51,70,accelerate,1
78,42,100,100,33,38,52,100,35,62,48,78,accelerate+rotRight,1
81,40,100,100,33,39,51,100,35,60,47,84,accelerate+rotRight,1
91,42,100,100,32,38,53,100,35,56,47,100,accelerate+rotRight,1
98,42,100,100,32,39,53,100,34,56,47,100,accelerate+rotRight,1
100,42,100,96,31,38,55,100,33,54,47,100,accelerate+rotRight,1
100,42,100,91,31,39,57,100,34,53,46,100,accelerate+rotRight,1
100,44,88,85,31,39,62,100,34,51,45,100,accelerate+rotRight,1
100,46,79,82,31,39,67,100,35,49,45,100,accelerate+rotRight,1
100,48,72,82,32,39,75,100,36,47,44,100,accelerate+rotRight,1
100,50,69,78,32,40,81,100,36,46,42,100,accelerate+rotRight,1
100,50,69,82,32,40,81,100,36,46,44,100,accelerate,1
100,50,69,85,32,40,81,100,36,46,46,100,accelerate,1
100,55,63,85,32,40,98,100,37,45,44,100,accelerate+rotRight,1
100,63,56,83,33,39,100,85,40,42,44,100,accelerate+rotRight,1
100,69,53,84,33,39,100,78,42,41,42,100,accelerate+rotRight,1
100,71,52,88,34,38,100,76,43,40,45,100,accelerate,1
100,71,52,90,34,38,100,76,43,40,45,100,accelerate,1
100,73,51,95,35,37,100,73,44,39,46,100,accelerate,1
100,75,49,99,36,36,100,71,45,38,49,100,accelerate,1
100,75,49,100,36,36,100,71,45,38,49,100,accelerate,1
100,78,48,100,37,35,100,69,47,37,51,100,accelerate,1
100,78,48,100,37,35,100,69,47,37,51,100,accelerate,1
100,71,50,100,38,34,100,77,46,37,56,63,accelerate+rotLeft,1
100,65,53,100,38,34,100,87,44,38,59,58,accelerate+rotLeft,1
100,65,53,100,38,34,100,87,44,38,59,58,accelerate,1
100,65,53,100,38,34,100,87,44,38,59,58,accelerate,1
100,65,53,100,38,34,100,87,44,38,59,58,accelerate,1
100,67,51,100,39,33,100,84,45,37,61,56,accelerate,1
100,67,51,100,39,33,100,84,45,37,61,56,accelerate,1
100,67,51,100,39,33,100,84,45,37,61,56,accelerate,1
100,67,51,100,39,33,100,84,45,37,61,56,accelerate,1
100,61,56,100,39,33,100,100,43,38,67,51,accelerate+rotLeft,1
100,56,63,100,38,34,86,100,41,41,71,50,accelerate+rotLeft,1
100,56,63,100,38,34,86,100,41,41,71,50,accelerate,1
100,56,63,100,38,34,86,100,41,41,71,50,accelerate,1
100,54,65,100,37,35,84,100,40,42,69,51,accelerate,1
100,54,65,100,37,35,84,100,40,42,69,51,accelerate,1
100,59,59,100,37,35,98,100,42,40,62,56,accelerate+rotRight,1
100,63,55,100,37,35,100,89,43,39,58,60,accelerate+rotRight,1
100,69,51,100,37,35,100,79,44,38,54,65,accelerate+rotRight,1
100,71,50,100,38,34,100,77,46,37,56,63,accelerate,1
100,71,50,100,38,34,100,77,46,37,56,63,accelerate,1
100,72,48,100,39,33,100,75,47,36,57,61,accelerate,1
100,67,51,100,39,33,100,84,45,37,61,56,accelerate+rotLeft,1
100,62,55,100,39,33,100,96,44,38,65,53,accelerate+rotLeft,1
100,57,61,100,38,34,90,100,42,40,69,51,accelerate+rotLeft,1
100,57,61,100,38,34,90,100,42,40,69,51,accelerate,1
100,57,61,100,38,34,90,100,42,40,69,51,accelerate,1
100,56,63,100,37,35,87,100,40,41,67,52,accelerate,1
100,56,63,100,37,35,87,100,40,41,67,52,accelerate,1
100,56,63,100,37,35,87,100,40,41,67,52,accelerate,1
100,61,57,100,37,34,100,97,42,40,61,57,accelerate+rotRight,1
100,67,52,100,37,35,100,82,44,38,56,63,accelerate+rotRight,1
100,75,48,100,38,34,100,72,47,36,54,67,accelerate+rotRight,1
100,75,48,100,38,34,100,72,47,36,54,67,accelerate,1
100,67,52,100,38,34,100,83,44,37,58,60,accelerate+rotLeft,1
100,61,57,100,38,34,100,99,43,39,64,54,accelerate+rotLeft,1
100,57,61,100,38,34,90,100,42,40,69,51,accelerate+rotLeft,1
100,52,71,100,37,35,76,100,39,43,75,49,accelerate+rotLeft,1
100,52,71,100,37,35,76,100,39,43,75,49,accelerate,1
100,50,73,100,36,36,74,100,38,45,73,50,accelerate,1
100,50,73,100,36,36,74,100,38,45,73,50,accelerate,1
100,49,75,100,35,37,72,100,37,46,71,52,accelerate,1
100,49,75,100,35,37,72,100,37,46,71,52,accelerate,1
100,50,71,100,34,38,77,100,37,46,63,56,accelerate+rotRight,1
100,54,64,100,34,38,90,100,38,44,57,61,accelerate+rotRight,1
100,58,59,100,34,38,100,97,39,42,53,65,accelerate+rotRight,1
100,60,58,100,35,37,100,94,40,41,55,63,accelerate,1
100,60,58,100,35,37,100,94,40,41,55,63,accelerate,1
100,60,58,100,35,37,100,100,40,41,55,63,accelerate,1
100,60,58,100,35,37,100,100,40,41,55,63,accelerate,1
100,60,58,100,35,37,100,100,40,41,55,63,accelerate,1
100,55,63,100,35,37,87,100,39,43,60,58,accelerate+rotLeft,1
100,50,71,100,35,37,77,100,38,45,67,53,accelerate+rotLeft,1
100,49,73,100,34,38,74,100,37,46,65,55,accelerate,1
100,49,75,100,34,38,74,100,37,46,65,55,accelerate,1
100,48,100,100,33,39,71,100,35,47,63,56,accelerate,1
100,48,100,100,33,39,70,100,35,47,63,56,accelerate,1
100,48,100,100,33,39,70,100,35,47,63,56,accelerate,1
100,49,100,100,32,40,71,100,35,47,56,61,accelerate+rotRight,1
100,53,100,100,32,40,75,100,37,45,51,67,accelerate+rotRight,1
100,53,100,100,32,40,73,100,37,45,51,67,accelerate,1
100,53,100,100,33,39,72,100,38,44,53,65,accelerate,1
98,53,100,100,33,39,69,100,38,44,53,65,accelerate,1
94,52,100,100,33,39,68,100,38,44,53,65,accelerate,1
90,50,100,100,33,39,66,100,38,44,53,65,accelerate,1
86,49,100,100,33,39,63,100,38,45,53,65,accelerate,1
85,49,100,100,33,39,63,100,38,45,49,71,accelerate+rotRight,1
85,51,100,100,34,38,65,100,40,42,47,77,accelerate+rotRight,1
84,52,100,100,34,38,64,100,40,43,45,85,accelerate+rotRight,1
85,52,100,100,35,38,63,100,41,42,44,93,accelerate+rotRight,1
85,52,100,100,36,37,65,100,41,40,44,100,accelerate+rotRight,1
86,54,100,100,37,36,65,100,44,40,45,100,accelerate+rotRight,1
84,53,100,98,37,35,65,100,43,40,44,100,accelerate+rotRight,1
86,55,100,89,39,34,66,100,45,38,45,100,accelerate+rotRight,1
87,56,100,82,39,33,68,100,46,38,46,100,accelerate+rotRight,1
83,54,100,84,40,33,65,100,45,41,47,100,accelerate,1
79,51,100,88,39,32,60,100,43,100,49,100,accelerate,1
78,51,100,85,40,31,60,100,43,100,49,100,accelerate+rotRight,1
77,51,100,84,41,31,61,99,44,100,50,100,accelerate+rotRight,1
77,52,100,80,42,30,61,99,44,100,51,100,accelerate+rotRight,1
77,51,100,78,39,31,60,99,43,100,50,100,accelerate+rotRight,1
77,52,100,77,41,30,61,99,43,100,52,100,accelerate+rotRight,1
78,52,100,78,40,30,61,98,44,100,52,100,accelerate+rotRight,1
77,52,100,77,40,30,60,98,44,100,53,100,accelerate+rotRight,1
74,50,100,81,40,30,58,94,43,100,55,100,accelerate,1
69,48,100,85,40,31,54,89,42,100,56,100,accelerate,1
70,48,100,84,39,31,55,89,42,100,56,100,accelerate+rotRight,1
70,47,100,83,39,32,54,89,41,100,55,100,accelerate+rotRight,1
68,46,100,84,38,32,52,88,40,100,54,100,accelerate+rotRight,1
68,45,100,84,39,33,53,87,40,100,55,100,accelerate+rotRight,1
68,45,100,84,38,33,53,87,39,100,53,100,accelerate+rotRight,1
