north,north_west,north_east,south,west,east,action,lap
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,59,59,100,36,35,accelerate,2
100,64,59,100,36,35,accelerate,2
100,100,57,100,36,35,accelerate,2
100,100,57,100,36,35,accelerate,2
98,100,56,100,36,35,accelerate,2
94,100,55,100,36,35,accelerate,2
90,100,54,100,36,35,accelerate,2
86,100,52,100,36,35,accelerate,2
82,100,50,100,36,35,accelerate,2
81,100,50,100,36,36,accelerate+rotLeft,2
81,100,52,100,35,37,accelerate+rotLeft,2
80,100,51,100,35,37,accelerate+rotLeft,2
78,100,50,100,34,37,accelerate+rotLeft,2
80,100,51,100,34,38,accelerate+rotLeft,2
80,100,52,100,32,39,accelerate+rotLeft,2
82,100,53,100,32,39,accelerate+rotLeft,2
82,100,53,92,31,39,accelerate+rotLeft,2
82,100,54,85,30,41,accelerate+rotLeft,2
81,100,54,82,30,41,accelerate+rotLeft,2
80,100,54,80,30,41,accelerate+rotLeft,2
81,100,53,77,30,41,accelerate+rotLeft,2
83,100,53,75,29,42,accelerate+rotLeft,2
86,100,55,75,28,42,accelerate+rotLeft,2
90,100,56,73,28,42,accelerate+rotLeft,2
96,100,55,73,28,41,accelerate+rotLeft,2
100,100,56,74,27,43,accelerate+rotLeft,2
